xval,cpu,mem
326,4.0,76.5
561,3.3,76.5
327,4.0,76.5
562,4.3,76.5
328,2.7,76.5
563,6.4,76.5
329,8.7,76.5
564,5.2,76.5
330,2.7,76.5
565,2.1,76.5
331,2.8,76.5
566,2.8,76.5
332,2.9,76.6
567,3.0,76.5
333,3.2,76.5
568,3.6,76.5
334,4.6,76.5
569,3.6,76.4
335,1.8,76.5
570,3.5,76.5
336,5.2,76.5
571,6.0,76.5
337,5.3,76.6
572,3.1,76.5
338,3.8,76.6
573,4.2,76.6
339,2.9,76.6
574,5.9,76.6
340,5.2,76.6
575,2.8,76.6
341,5.9,76.5
576,7.9,76.5
342,6.3,76.6
577,4.8,76.5
343,2.9,76.5
578,2.6,76.6
344,2.9,76.6
579,2.1,76.6
345,2.4,76.6
580,2.5,76.6
346,2.7,76.6
581,2.1,76.5
347,2.2,76.5
582,3.6,76.6
348,3.9,76.5
583,3.8,76.5
349,3.4,76.6
584,4.4,76.5
350,4.3,76.5
585,2.9,76.5
351,4.1,76.5
586,4.2,76.5
352,2.7,76.5
587,2.4,76.5
353,4.3,76.5
588,5.1,76.5
354,3.6,76.5
589,2.2,76.5
355,2.7,76.5
590,3.4,76.5
356,3.5,76.4
591,3.1,76.5
357,2.2,76.5
592,1.7,76.5
358,1.1,76.5
593,2.1,76.5
359,2.3,76.5
594,2.0,76.4
360,2.0,76.5
595,5.2,76.5
361,5.5,76.5
596,3.3,76.5
362,2.9,76.5
597,3.7,76.5
363,4.3,76.6
598,3.7,76.6
364,4.9,76.6
599,4.9,76.5
365,3.0,76.5
600,1.8,76.6
366,1.6,76.6
601,3.4,76.5
367,3.9,76.5
602,4.3,76.5
368,3.5,76.6
603,1.7,76.6
369,2.4,76.5
604,3.3,76.6
370,3.0,76.6
605,1.6,76.6
371,1.7,76.6
606,1.9,76.6
372,2.1,76.6
607,4.4,76.6
373,4.6,76.6
608,3.4,76.7
374,3.2,76.7
609,3.8,76.7
375,5.3,76.7
610,4.0,76.6
376,2.5,76.5
611,4.5,76.6
377,4.5,76.6
612,3.7,76.6
378,5.5,76.6
613,4.3,76.6
379,3.2,76.6
614,3.1,76.6
380,4.6,76.6
615,5.2,76.6
381,3.5,76.5
616,3.0,76.7
382,3.2,76.7
617,4.7,76.7
383,3.9,76.7
618,3.5,76.7
384,4.0,76.7
619,2.9,76.7
385,1.4,76.7
620,0.6,76.7
386,1.2,76.7
621,1.1,76.7
387,0.9,76.7
622,2.0,76.7
388,3.0,76.7
623,3.7,76.6
389,3.6,76.7
624,4.1,76.7
390,3.4,76.7
625,3.9,76.7
391,4.7,76.7
626,5.1,76.7
392,5.9,76.8
627,4.8,76.7
393,3.4,76.7
628,3.3,76.7
394,3.4,76.7
629,3.9,76.7
395,3.3,76.7
630,0.9,76.7
396,1.4,76.7
631,4.4,76.7
397,4.5,76.6
632,3.3,76.5
398,4.5,76.6
633,4.3,76.6
399,2.6,76.6
634,2.0,76.6
400,2.6,76.6
635,3.3,76.6
401,3.2,76.6
636,1.1,76.6
402,0.8,76.6
637,1.5,76.6
403,1.6,76.6
638,2.1,76.6
404,2.5,76.7
639,3.0,76.7
405,3.2,76.7
640,2.8,76.6
406,4.9,76.7
641,5.4,76.6
407,3.6,76.6
642,2.5,76.6
408,2.3,76.6
643,3.6,76.6
409,5.0,76.6
644,6.4,76.7
410,5.4,76.7
645,4.2,76.6
411,3.5,76.6
646,3.6,76.7
412,4.6,76.7
647,5.2,76.7
413,4.3,76.7
648,8.7,76.6
414,9.5,76.7
649,6.5,76.6
415,6.1,76.6
650,4.7,76.5
416,4.2,76.6
651,3.0,76.6
417,3.6,76.6
652,3.9,76.7
418,3.9,76.6
653,3.1,76.6
419,2.4,76.6
654,3.3,76.6
420,3.9,76.6
655,4.3,76.6
421,3.9,76.6
656,1.5,76.6
422,2.2,76.6
657,2.6,76.6
423,2.9,76.6
658,3.2,76.6
424,3.3,76.7
659,4.0,76.7
425,3.6,76.6
660,2.8,76.7
426,2.5,76.7
661,6.3,76.6
427,6.1,76.6
662,3.3,76.6
428,3.4,76.6
663,2.0,76.6
429,1.4,76.6
664,2.0,76.6
430,2.8,76.7
665,2.4,76.6
431,3.1,76.6
666,3.9,76.7
432,2.6,76.6
667,2.4,76.6
433,4.2,76.6
668,4.6,76.7
434,3.4,76.6
669,3.8,76.5
435,3.7,76.6
670,3.2,76.6
436,2.5,76.5
671,2.6,76.6
437,4.8,76.6
672,6.1,76.5
438,7.6,76.5
673,6.4,76.5
439,3.5,76.5
674,3.9,76.6
440,3.7,76.6
675,3.8,76.6
441,4.2,76.6
676,5.0,76.6
442,6.5,76.6
677,4.8,76.6
443,3.8,76.7
678,5.0,76.7
444,4.0,76.7
679,2.6,76.7
445,2.5,76.7
680,2.3,76.7
446,2.3,76.7
681,4.5,76.6
447,5.7,76.7
682,6.4,76.7
448,4.2,76.6
683,1.8,76.6
449,2.3,76.6
684,3.8,76.6
450,3.8,76.6
685,5.4,76.6
451,6.2,76.6
686,5.3,76.6
452,5.0,76.7
687,2.2,76.6
453,0.9,76.6
688,2.5,76.6
454,4.3,76.6
689,5.5,76.8
455,4.2,76.8
690,4.4,77.0
456,5.1,77.1
691,4.7,77.2
457,5.9,77.4
692,8.9,77.6
458,11.2,77.5
693,7.2,77.7
459,2.8,77.7
694,3.9,77.7
460,4.1,77.7
695,2.6,77.7
461,1.6,77.7
696,2.5,77.7
462,3.8,77.7
697,3.1,77.7
463,2.1,77.7
698,3.0,77.7
464,3.7,77.7
699,3.0,77.7
465,2.7,77.7
700,2.7,77.7
466,4.1,77.7
701,5.6,77.7
467,5.4,77.7
702,4.3,77.7
468,3.8,77.7
703,3.3,77.7
469,3.6,77.7
704,2.8,77.7
470,2.7,77.7
705,4.0,77.6
471,4.2,77.6
706,4.3,77.6
472,4.3,77.7
707,4.4,77.4
473,5.0,77.1
708,4.2,76.9
474,3.4,76.9
709,3.3,76.9
475,2.3,76.9
710,3.6,76.8
476,5.6,76.8
711,4.4,76.8
477,2.6,76.9
712,3.0,77.0
478,4.5,77.0
713,4.0,77.1
479,2.3,77.3
714,6.7,77.3
480,9.2,77.4
715,10.6,77.6
481,7.6,77.6
716,1.6,77.6
482,3.7,77.5
717,3.7,77.5
483,2.5,77.5
718,3.9,77.5
484,4.6,77.4
719,4.1,77.5
485,3.6,77.4
720,2.4,77.5
486,2.6,77.4
721,4.9,77.5
487,4.0,77.5
722,1.7,77.5
488,2.1,77.5
723,3.8,77.4
489,3.9,77.4
724,2.2,77.5
490,1.8,77.5
725,3.0,77.4
491,3.3,77.4
726,3.4,77.4
492,3.5,77.4
727,4.1,77.4
493,5.0,77.4
728,3.7,77.4
494,2.1,77.4
729,2.7,77.4
495,4.5,77.4
730,3.4,77.4
496,2.1,77.4
731,2.9,77.4
497,3.5,77.4
732,4.1,77.4
498,4.2,77.4
733,2.4,77.4
499,0.9,77.4
734,2.3,77.5
500,2.7,77.5
735,2.2,77.5
501,2.9,77.4
736,2.1,77.5
502,2.2,77.5
737,4.5,77.5
503,5.2,77.5
738,5.4,77.6
504,3.9,77.6
739,5.8,77.6
505,7.1,77.5
740,8.4,77.6
506,8.3,77.5
741,4.9,77.5
507,5.1,77.5
742,4.8,77.5
508,3.0,77.5
743,6.4,77.6
509,7.9,77.6
744,3.4,77.6
510,2.3,77.6
745,2.8,77.6
511,4.1,77.6
746,4.9,77.6
512,5.5,77.6
747,6.5,77.5
513,6.4,77.5
748,5.1,77.5
514,3.7,77.6
749,4.0,77.5
515,7.1,77.5
750,11.1,77.0
516,8.2,76.8
751,4.8,76.7
517,4.2,76.7
752,1.6,76.7
518,1.9,76.7
753,3.6,76.8
519,5.4,76.8
754,3.6,76.9
520,1.7,76.9
755,2.5,76.9
521,3.0,77.0
756,5.6,77.0
522,6.9,77.1
757,7.8,77.4
523,8.1,77.5
758,8.6,77.6
524,7.0,77.7
759,3.6,77.7
525,4.5,77.6
760,3.8,77.6
526,3.0,77.6
761,3.3,77.6
527,3.1,77.6
762,2.6,77.6
528,2.3,77.6
763,6.2,77.5
529,6.4,77.5
764,2.6,77.6
530,2.4,77.6
765,2.1,77.6
531,3.1,77.6
766,3.8,77.6
532,2.3,77.6
767,1.5,77.6
533,2.0,77.6
768,4.2,77.5
534,3.9,77.6
769,2.3,77.6
535,3.4,77.5
770,3.4,77.5
536,3.2,77.5
771,3.9,77.5
537,4.6,77.5
772,5.5,77.4
538,3.8,77.5
773,1.1,77.5
539,1.2,77.4
774,2.7,77.4
540,2.9,77.5
775,3.3,77.5
541,3.7,77.4
776,3.5,77.4
542,2.7,77.5
777,2.5,77.5
543,2.6,77.4
778,2.1,77.4
544,1.5,77.4
779,0.5,77.4
545,1.5,77.4
780,2.2,77.3
546,1.4,77.4
781,0.9,77.3
547,2.2,77.3
782,4.4,77.4
548,5.0,77.3
783,2.9,77.4
549,1.1,77.4
784,2.6,77.4
550,4.7,77.3
785,4.9,77.5
551,3.5,77.5
786,3.4,77.6
552,3.7,77.5
787,1.9,77.5
553,4.3,77.6
788,5.9,77.5
554,3.5,77.4
789,2.9,77.4
555,4.1,77.5
790,4.1,77.5
556,4.4,77.4
791,3.3,77.4
557,1.8,77.4
792,4.3,77.4
558,5.4,77.4
793,4.7,77.4
559,4.0,77.4
794,2.9,77.4
560,4.3,77.4
795,4.7,77.4
561,2.5,77.4
796,2.4,77.4
562,3.6,77.4
797,2.9,77.4
563,2.3,77.4
798,3.3,77.4
564,5.9,77.4
799,7.2,77.4
565,5.0,77.4
800,3.4,77.5
566,3.2,77.4
801,1.8,77.4
567,0.9,77.4
802,2.4,77.4
568,4.6,77.5
803,3.8,77.5
569,3.5,77.5
804,4.1,77.5
570,4.3,77.5
805,5.1,77.5
571,3.9,77.5
806,2.9,77.5
572,3.8,77.5
807,3.3,77.4
573,2.4,77.5
808,2.9,77.5
574,3.6,77.5
809,3.8,77.5
575,3.0,77.5
810,3.2,77.5
576,4.6,77.5
811,5.0,77.5
577,3.2,77.4
812,2.6,77.4
578,4.8,77.4
813,5.7,77.4
579,4.8,77.4
814,6.7,77.4
580,7.4,77.4
815,4.8,77.4
581,3.0,77.4
816,3.8,77.4
582,4.2,77.4
817,2.0,77.4
583,1.1,77.5
818,2.1,77.4
584,2.5,77.4
819,3.7,77.4
585,5.1,77.4
820,3.2,77.4
586,2.0,77.4
821,5.8,77.4
587,5.9,77.4
822,3.4,77.4
588,4.1,77.5
823,3.2,77.5
589,2.8,77.5
824,4.2,77.5
590,4.9,77.4
825,5.2,77.1
591,4.3,76.7
826,3.3,76.5
592,2.8,76.5
827,2.3,76.5
593,2.2,76.5
828,2.6,76.5
594,3.8,76.5
829,2.0,76.5
595,0.9,76.6
830,2.1,76.8
596,2.9,76.9
831,5.1,77.2
597,5.1,77.2
832,7.2,77.3
598,6.7,77.3
833,1.7,77.3
599,1.1,77.3
834,2.3,77.4
600,3.4,77.4
835,7.8,77.3
601,7.0,77.3
836,2.4,77.3
602,3.2,77.3
837,3.3,77.3
603,2.6,77.3
838,3.0,77.3
604,3.0,77.3
839,3.1,77.3
605,4.7,77.3
840,2.9,77.3
606,1.5,77.2
841,3.3,77.3
607,4.5,77.3
842,4.2,77.3
608,2.8,77.3
843,3.5,77.3
609,3.6,77.3
844,2.3,77.3
610,2.8,77.3
845,3.9,77.2
611,3.8,77.2
846,2.1,77.3
612,1.3,77.3
847,4.1,77.2
613,4.7,77.3
848,3.1,77.3
614,2.7,77.3
849,2.9,77.3
615,4.3,77.2
850,3.2,77.3
616,1.4,77.3
851,2.5,77.3
617,2.7,77.3
852,3.1,77.3
618,3.6,77.3
853,4.2,77.3
619,5.6,77.3
854,3.5,77.3
620,2.0,77.3
855,3.2,77.3
621,4.0,77.3
856,2.9,77.3
622,2.1,77.3
857,2.7,77.3
623,3.8,77.3
858,3.6,77.3
624,2.2,77.3
859,4.2,77.3
625,6.1,77.3
860,3.7,77.3
626,1.2,77.3
861,2.2,77.3
627,3.2,77.3
862,3.8,77.3
628,3.9,77.2
863,2.6,77.2
629,2.9,77.2
864,3.7,77.3
630,3.1,77.3
865,2.9,77.3
631,3.5,77.3
866,4.5,77.3
632,3.4,77.3
867,2.0,77.3
633,3.5,77.3
868,4.8,77.3
634,4.0,77.3
869,2.4,77.2
635,2.4,77.2
870,3.7,77.2
636,4.9,77.1
871,7.1,77.1
637,8.4,77.1
872,4.7,77.2
638,2.9,77.2
873,4.4,77.2
639,3.4,77.2
874,2.3,77.2
640,3.4,77.2
875,3.4,77.2
641,5.1,77.2
876,6.7,77.3
642,3.1,77.3
877,1.9,77.3
643,2.5,77.3
878,4.1,77.3
644,5.6,77.3
879,4.3,77.2
645,3.1,77.2
880,2.8,77.3
646,2.4,77.2
881,2.7,77.3
647,4.3,77.2
882,4.7,77.3
648,3.0,77.3
883,3.1,77.2
649,3.3,77.2
884,3.1,77.3
650,3.7,77.3
885,2.2,77.3
651,1.5,77.3
886,3.3,77.3
652,3.5,77.3
887,3.1,77.3
653,4.0,77.3
888,3.9,77.3
654,5.3,77.3
889,4.7,77.2
655,5.3,77.2
890,6.2,77.3
656,4.0,77.2
891,2.5,77.2
657,2.8,77.2
892,3.6,77.3
658,3.3,77.2
893,4.8,77.2
659,3.7,77.2
894,2.3,77.2
660,2.2,77.2
895,1.8,77.2
661,3.2,77.2
896,5.1,77.3
662,5.1,77.3
897,3.8,77.2
663,4.6,77.3
898,8.3,77.3
664,8.0,77.2
899,5.0,77.2
665,3.5,77.2
900,4.3,77.3
666,4.3,77.3
901,1.5,77.3
667,1.9,77.4
902,4.3,77.3
668,4.7,77.4
903,3.6,77.4
669,3.0,77.3
904,4.3,77.3
670,4.7,77.4
905,3.5,77.3
671,4.1,77.3
906,6.5,77.3
672,5.7,77.4
907,1.7,77.3
673,2.3,77.3
908,4.5,77.3
674,3.5,77.4
909,1.6,77.3
675,4.0,77.5
910,4.7,77.6
676,4.0,77.7
911,5.4,78.0
677,5.3,78.1
912,5.2,78.0
678,7.2,78.1
913,7.2,78.0
679,6.7,78.1
914,6.3,78.4
680,5.1,78.4
915,5.0,78.1
681,6.5,78.0
916,6.4,78.0
682,4.7,78.0
917,2.7,77.9
683,2.5,77.9
918,3.6,77.9
684,3.9,77.9
919,2.5,78.0
685,2.6,78.0
920,4.1,78.0
686,3.3,77.9
921,2.3,78.0
687,2.8,78.0
922,3.3,78.0
688,3.6,77.9
923,2.5,78.0
689,2.6,77.9
924,3.8,77.9
690,3.5,77.9
925,2.5,77.9
691,2.3,77.9
926,3.6,77.9
692,4.2,77.9
927,3.8,77.9
693,4.4,77.9
928,7.6,77.9
694,6.7,77.9
929,3.5,77.9
695,2.9,77.9
930,3.9,77.9
696,3.8,77.8
931,3.4,77.9
697,3.6,77.9
